,state_code,Wt Avg $/Student,% Diff from National Wt Avg $/Student,Median $/Student,Wt Avg $/Mbps,% Diff from National Wt Avg $/Mbps,% Districts meeting 1Mbps,state_network
0,National,0.997750976477551913697860556453139,0.104571099918408956677097602358513,1.6669972937592255366793,1.620348104103976875886770972166304,0.106595841931746608434519543337260,0.37932444589842152613,
1,National w/out AK,0.903292668576294006744273028683546,0E-33,1.6595974879604321228692,1.464263683907749436907462642593590,0E-33,0.38058475689881734560,
2,National Meeting 1Mbps,1.340454695133849382952154816615730,0.483964989161906109349509571485805,2.7491125276383359549258,0.903406726111541176203572368323432,-0.383030026599732972916553739469933,1.00000000000000000000,
3,ID,0.9983995812315599124393,0.105289144884975865344437789583331,2.88149350649350649351,2.0526326458732829804720,0.401818995056495283618450057855347,0.31818181818181818182,False
4,NE,1.4224195885344112338724,0.574705118304932495924716146018439,3.2580043776697119888786,2.1943901285481993918085,0.498630439766099460091874793865496,0.32773109243697478992,True
5,WV,1.5699015177507312732011,0.737976596472435638979663999439857,1.6171339095759175758792,3.1522118379172168295198,1.152762424254599197832555531168756,0.22222222222222222222,True
6,OH,1.18594103648900410278664484639110,0.312908958242958459118546579364950,1.59146103577290895722,1.71871019798197481411982728687157,0.173770965482919022273107059387968,0.17830882352941176471,False
7,CO,0.5515816516632390166010,-0.389365517011664680374185643994168,2.3266094818820742593833,1.6122340324515387641395,0.101054441334564749301091549740758,0.46198830409356725146,False
8,LA,0.7223964621968616262482,-0.200263118114916378081933311287210,1.28302604067667743775,1.2174747355405962357467,-0.168541329734092642929398567577491,0.41538461538461538462,False
9,PA,0.70484950026796258571364901053865,-0.219688673684359137338563625775851,0.84133481733336697559,0.77265212240634567552388223283725,-0.472327197008442784866287159147956,0.37654320987654320988,False
10,KY,1.3886025043468964421066,0.537267546448166640411663568102493,2.297622009128475566041,5.3189062802152176631428,2.632478452255540502624991816736139,0E-20,True
11,IN,1.1810503458733365224165,0.307494665859321668524455540313031,1.68103448275862068966,1.9857410587053020645940,0.356136248223995697432638517784499,0.17667844522968197880,False
12,MN,1.2412731512612494186968936338729,0.374164979350110674007548953019909,2.3081353355871792855837,1.5961504108022223509567540750068,0.090070339341136014660216861602175,0.52500000000000000000,False
13,CT,0.5130382179505923284409,-0.432035445655496276286634769925506,0.63829787234042553191,0.6927845700012303255212,-0.526871711963542301095837716112677,0.42038216560509554140,True
14,MO,1.052270726041219474035089283104663,0.164927783261801671406261787200272,2.1184719823890116163528,1.625720229661862866333600608645863,0.110264665803379582372890551465471,0.32377049180327868852,True
15,AL,1.3825858291246877572149,0.530606720525941739951434331969520,1.9976216009191880505553,3.7766526047786917352135,1.579216193288193222295149468936922,0.09022556390977443609,True
16,OR,0.7284945832182758881099,-0.193512126732438217649886494414064,1.51379193151150495427,0.6468180427843978693260,-0.558263958948838979843716589898630,0.49685534591194968553,False
17,SC,0.550788820430236384420,-0.390243229474727440171647187669300,0.78418855880186594648,1.558420642769668138285,0.064303280820731408129321185539855,0.22222222222222222222,True
18,TX,0.6839790465070056028625556718777,-0.242793537132272996105117636987814,2.03041202951965043702,0.9096739092697250957230343789878,-0.378749934682505064388492407709914,0.43936381709741550696,False
19,UT,0.8891842643980100519030,-0.015618862710931356600806239404343,0.9048762228764884245896,1.9055271352649797313739,0.301355183637150479139943956403753,0.38235294117647058824,True
20,VT,1.7097290183282589973436,0.892774155936649975284487253106530,1.6141076696165191740413,1.3455894194754319650562,-0.081047058488540721490586618835802,0.45454545454545454545,False
21,NJ,1.1809707485905714757848,0.307406546819353700847907986213718,1.453984280842116060211,1.9121783164326810228825,0.305897522042997553869618294982950,0.27626459143968871595,False
22,CA,0.67966908114574350294014196120344,-0.247564931289667367943075136743965,1.3610234862173007718334,0.89783929139411543851469308858680,-0.386832234343195996270623722310276,0.49330357142857142857,False
23,AZ,1.1303211602661792374830,0.251334367683634005710524817942557,2.2093464052287581699346,2.4260546443632038426348,0.656842733331115325086744487161409,0.33333333333333333333,False
24,MT,1.6190942011424614851999,0.792435893113538947185663568787698,3.2552325581395348837209,2.2033967171098505550007,0.504781373276664207712901196066866,0.51428571428571428571,False
25,OK,1.9873520072077455824355,1.200119713514413002428153030738919,4.16497879612633710995,2.2163150145784986271560,0.513603757940451267877642208775832,0.56547619047619047619,False
26,TN,1.8874234959235670092756,1.089492765283250202920217777112603,3.42028090754746102794,4.8986481019378816033971,2.345468548987453383327620978789353,0.22857142857142857143,False
27,NV,0.7051460155089919155255,-0.219360413253001185374529625758264,1.0326069163085737671373,0.6949061531426248666226,-0.525422804116744808803365983600435,0.60000000000000000000,False
28,MA,0.94677128522419520210920356979191,0.048133476735097512380925189118247,1.0781267487409065472860,1.83900311111705909804471595145071,0.255923459229163498368736206542468,0.18315018315018315018,False
29,ME,0.992105458591846019305185,0.098321167773377866980556679200344,1.34612186630994591569,0.823509845025348997211833,-0.437594571199355638253340462341115,0.63855421686746987952,True
30,ND,2.048500930420783182294071,1.267815295843688635914359893220991,5.1162641658320739932280,1.096959406637771062610597,-0.250845719460675385545152674336198,0.74675324675324675325,True
31,NH,1.3197005468256811861260,0.460988882933921975519866005003377,1.76470588235294117647,1.7969139305083347949674,0.227179196108194107765516525114220,0.27972027972027972028,False
32,NC,0.92899511968076004298,0.028454178804502444520962600007671,1.26866153945582627803,3.95291684869666521041,1.699593585594726966404853832982421,0.00869565217391304348,True
33,VA,0.6870782882388112237001,-0.239362487772943614661584179768970,0.99362512873016441638,1.6887261365435789294804,0.153293737393524625695797529624835,0.22307692307692307692,False
34,DE,1.11693895346319034095,0.236519449696885608803544756467395,1.08573245602917455957,1.35980095996082239590,-0.071341470183937397851752179511459,0.41176470588235294118,True
35,AK,36.9406613799382269606133,39.895562053173180020687469196957722,118.95333333333333333333,198.3246589922799323923073,134.443268293728064732565835776658268,0.07843137254901960784,False
36,IL,1.10500859507109803662159128894641,0.223311816327187069000744347543367,1.8159280310579997746909,2.13276893156352682805339801069160,0.456547037943129177869044967150287,0.22486772486772486772,False
37,NY,0.5200920708107238993889679579401,-0.424226400917815237933133519299743,0.9649398831165641073029,1.2769309323328635033662462477177,-0.127936486873007871781195104038533,0.36128048780487804878,False
38,WI,1.05424901837098448008671250211006,0.167117873360598831413162720987853,1.8099000000000000000000,1.10406986061914080624757788271766,-0.245989726609446745969140311315448,0.53435114503816793893,True
39,WY,1.5457553163524535276919,0.711245280877529638326212497637711,2.8586288282081291866464,1.1004975029742379408064,-0.248429422194444897663154693186646,0.71739130434782608696,True
40,MD,0.2735871240851232830603519085193,-0.697122390557722614037940123853656,0.29755629473309616070,1.1038873288980652902041312594632,-0.246114384294453578239305604633602,0.08333333333333333333,False
41,NM,1.3083699541247995936313,0.448445226713684883334903375738312,3.1152027883396704689480,2.5561600868351682431382,0.745696567447075833148848595972328,0.37931034482758620690,False
42,RI,1.8223764560609178843504,1.017481730404408922316497696064851,2.0345155257443335719805,4.2653791907514450867334,1.912985712633551634955635047371676,0.08823529411764705882,True
43,KS,1.6025430924502904180527,0.774112807730528196504017039696458,2.4216796875000000000000,1.8429648839450855758460,0.258629100891636139989050938489611,0.51245551601423487544,False
44,HI,2.0636682371051066459835,1.284606428122254672930882077275971,2.0636682371051066459835,3.6299818461538461538407,1.479049290129454475215474365620006,1.00000000000000000000,True
45,AR,2.7624441008092152876189,2.058193868841185467857294105564085,2.9292315404301136454213,1.8009938733436393266744,0.229965540453234610417086550373362,0.98672566371681415929,True
46,MI,0.87484062701492598428152421952234,-0.031498142906675105971365318312796,0.56945889698231009365,0.71787107389419502184956462075393,-0.509739207641632764821873753358291,0.47704590818363273453,False
47,IA,1.2692730094206907125276,0.405162527690199262547434481967567,1.71929824561403508771,2.1563835973248856036581,0.472674369393662189252665164134612,0.23278688524590163934,True
48,FL,0.5171594727340607267362,-0.427472965601314027146332344996922,0.54050912472393351157,1.4328892386676712233687,-0.021426772776572423271720845861784,0.04615384615384615385,False
49,GA,0.499787362818549647060636,-0.446704949342410664396759695193507,0.9724610069198919933740,1.609339724794770228606319,0.099077811244932012925738493781937,0.07821229050279329609,True
50,MS,0.8155142567846294236827,-0.097176048079759913377392839709460,0.778528921802834846431,1.7415561665776828618884,0.189373325117174196650842311736341,0.15671641791044776119,True
51,SD,1.936787731616589211116786,1.144141980770437337359178757914765,3.7754003035869327679114,1.128935187511291873725489,-0.229008272267977456204905557255961,0.96598639455782312925,True
52,WA,0.68868640729040300325075415,-0.237582202038834443798930054442919,1.8264074684625005880782,1.58407745310946927288402278,0.081825268575921509419806794182080,0.34948096885813148789,True
