district_id,state_code,total_deals_old_meth,sp_old_meth_only
882095,CO,9.797958971132712,"['Affiniti', 'Agate Mutual Telephone Cooperative Association', 'Blanca Telephone', 'Brainstorm Internet', 'Clear Networx', 'Education Networks of America (ENA)', 'FairPoint', 'Farmers Telephone', 'FastTrack Communications', 'Futurum Communications', 'Jade Communications', 'Kentec Communications', 'Mammoth Networks', 'NE Colorado Cellular', 'Nucla Naturita Telephone', 'Phillips County Telephone', 'Rio Blanco County', 'San Luis Valley Rural Electric Cooperative', 'Sierra Communications', 'Visionary Communications', 'Wiggins Telephone Association', 'Zippytech']"
882135,CA,1.414213562373095,['CENIC']
882787,AK,3.872983346207417,"['Alaska Communications Systems Holdings', 'Alaska Telephone', 'City of Ketchikan', 'Copper Valley Telephone Cooperative', 'Cordova Telephone Cooperative', 'MTA Communications']"
883197,CA,2.236067977499790,"['CENIC', 'San Luis Obispo County Office of Education']"
883297,CA,1.414213562373095,['San Luis Obispo County Office of Education']
894438,IA,1.000000000000000,['Winnebago Cooperative Telecommunications Association']
900691,IL,12.727922061357855,"['Avenue Broadband Communications', 'Cass Cable TV', 'CASSCOMM', 'CIRBN', 'City of Rock Falls', 'Clearwave Communications', 'Computer Techniques', 'Egyptian Telephone Cooperative Association', 'Essex Telecommunications', 'Frontier', 'Geneseo Communications', 'Hamilton County Telephone Cooperative', 'Harrisonville Telephone', 'Henry County Telephone', 'Illinois Electric Cooperative', 'I.V.Net', 'LaHarpe Telephone', 'Logonix', 'Madison Telephone', 'MCC Network Services', 'MCC Telephony', 'Mid Century Telephone Cooperative', 'Montrose Mutual Telephone', 'MTC Communications', 'Newarknet', 'Northern Illinois University', 'Oneida Telephone Exchange', 'Reynolds Telephone', 'Shawnee Communications', 'Stratus Networks', 'SYNDEO NETWORKS', 'Telecommunications Management', 'Village of Rantoul', 'Wabash Independent Networks', 'Wabash Telephone Cooperative']"
901277,IL,14.456832294800960,"['Avenue Broadband Communications', 'Call One', 'Cass Cable TV', 'CIRBN', 'City of Rock Falls', 'Clearwave Communications', 'Education Networks of America (ENA)', 'First Communications', 'Frontier', 'Geneseo Communications', 'Glasford Telephone', 'Hamilton County Telephone Cooperative', 'Harrisonville Telephone', 'HTC Communications Co.', 'Illinois Electric Cooperative', 'I.V.Net', 'Logonix', 'Madison Telephone', 'MCC Network Services', 'MCC Telephony', 'Mid Century Telephone Cooperative', 'Montrose Mutual Telephone', 'MTC Communications', 'Net56', 'Northern Illinois University', 'Reynolds Telephone', 'Shawnee Communications', 'Sigecom', 'Single Path', 'Strada Communications', 'Stratus Networks', 'SYNDEO NETWORKS', 'Telecommunications Management', 'Unite Private Networks', 'Village of Western Springs', 'Wabash Independent Networks', 'Wabash Telephone Cooperative']"
901395,IL,6.633249580710800,"['Avenue Broadband Communications', 'Cass Cable TV', 'CIRBN', 'City of Rock Falls', 'Clearwave Communications', 'Computer Techniques', 'Hamilton County Telephone Cooperative', 'Illinois Electric Cooperative', 'I.V.Net', 'MCC Telephony', 'Montrose Mutual Telephone', 'MTC Communications', 'Northern Illinois University', 'Shawnee Communications', 'Wabash Independent Networks', 'Wabash Telephone Cooperative']"
919590,MI,4.898979485566356,['Advanced Communications']
919762,MI,4.795831523312720,['Advanced Communications']
919804,MI,4.582575694955840,['Advanced Communications']
919901,MI,2.645751311064591,['Waldron Communication']
920030,MI,4.795831523312720,['Advanced Communications']
922637,MN,6.782329983125268,"['Arvig Telephone', 'BEVCOMM', 'Consolidated Telephone', 'Hiawatha Broadband Communications', 'Interstate Telecommunications Cooperative', 'Jaguar Communications', 'Kasson & Mantorville Telephone', 'MABEL COOPERATIVE TELEPHONE', 'MCC Telephony', 'Midcontinent Communications', 'New Ulm Telecommunications', 'Paul Bunyan Rural Telephone Cooperative', 'Runestone Telephone Association', 'Savage Communications', 'South Dakota Network', 'Spring Grove Communications', 'State of MN-Office of', 'Tekstar Communications', 'VAL-ED Joint Venture', 'West Central Telephone Association']"
924114,MO,2.236067977499790,"['Chariton Valley', 'Co-Mo Communications', 'Craw-Kan Telephone Cooperative', 'Otelco Mid-Missouri', 'United Services']"
924404,MO,4.795831523312720,"['Chariton Valley', 'Chariton Valley Communications', 'Co-Mo Communications', 'Craw-Kan Telephone Cooperative', 'Kingdom Telephone', 'MCC Telephony', 'MCM Systems', 'Mid-State Services', 'Otelco Mid-Missouri', 'Sho-Me Technologies', 'United Services']"
946867,NY,4.000000000000000,"['Fibertech Communications', 'Frontier', 'Westelcom Internet']"
952159,OR,1.414213562373095,"['County of', 'Hunter Communications']"
952215,OR,2.828427124746190,"['Casco Communications', 'CBX', 'City of Portland', 'ComSpan Communications', 'County of']"
954136,PA,4.123105625617661,"['DQE Communications', 'Hickory Telephone', 'Velocity.Net Communications', 'Zito Media Communications']"
967189,TN,1.000000000000000,[]
970192,TX,18.788294228055936,"['Alenco Communications', 'AMG Technology Investment Group', 'Big Bend Telecommunications', 'Brazos 2020 Vision', 'Brazos Telephone Cooperative', 'Cable One', 'Cameron Telephone', 'Cap Rock Telephone Cooperative', 'Central Texas Communications', 'CENTRAL TEXAS TELEPHONE Cooperative', 'Colorado Valley Communications', 'Comcell', 'Community Telephone Co.', 'Delcom', 'Eastex Telephone Cooperative', 'EDLINK12 Telecommunications Network', 'Education Networks of America (ENA)', 'Education Service Center, Region 13', 'Education Service Center Region 2', 'EM3 Networks', 'ESC7Net', 'Etex Telephone Cooperative', 'Five Area Telephone Cooperative', 'Ganado Telephone', 'Grande Communications Networks', 'GVEC.net', 'Hill Country Telecommunications', 'Interconnect Services', 'Internet Management Services', 'JACKSON ELECTRIC COOPERATIVE', 'LightStream Networks', 'Lipan Telephone', 'Mid-Plains Rural Telephone Cooperative', 'Muenster Telephone Corporation of Texas', 'Nortex Communications', 'Northeast Texas Broadband', 'Peoples Communication', 'Personal Touch Communications', 'PHONOSCOPE LIGHT WAVE', 'Plateau Telecommunications', 'Poka Lambro Telephone Cooperative', 'Pride Network', 'Rhino Communications', 'Riviera Telephone Co.', 'SmartCom Telephone', 'Southwest Arkansas Telephone Cooperative', 'Telecommunications Management', 'Ultra Communications Group', 'USFon', 'Valley Telephone Cooperative', 'Victoria Electric Cooperative', 'VTX Communications', 'West Plains Telecommunications', 'W.T. Services', 'XIT Telecommunication & Technology']"
